,id,native,language,text
700,1188,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm Camilla and am an Italian native speeker. I have recently moved to London and I need to improve my English, in return I would be happy to help you with your Italian!"
701,1189,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm an Italian engineer, I'm 27 and live in Milan. I like reading, movies, running and...a lot of other things! But especially I love meeting and taking with people who come from different countries and different cultures! I'd be glad to help you with italian and also to practise english"
702,1190,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, I'm italian and I want to improve my english for work purposes"
703,1192,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'Spanish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'German', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]","I have liked languages since when I was a young girl, and I had some pen pals and wrote a lot of letters. Now that we are in a ""technological"" age, I wish to try a different way to practise the languages, even because in my present job I have not this chance so often, and anyway I always use the same words."
704,1195,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I would like to practice English and I hope I'll find somebody to speak with
705,1196,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",hi! i'm looking forward someone for improve my English. i'd like to chat on Telegram or another app because my english spoke isn't fluent
706,1198,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Born in Parma, north of Italy ( the center of the so-called Food Valley), and I live there. I would have conversation to improve my english . Correction of pronunciation and increasing the vocabulary is what I really need! I love reading, and art ( pictures, museum, movies ecc.)"
707,1200,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I am here to learn new languages and meet people from different cultures. I would be happy to help you with the Italian language.
708,1201,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Arabic', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]","hello, does anyone want to learn Italian?"
710,1204,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'French', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",I'm from Sicily. I study conservation of paper cultural heritage as book and photo print. I study english since five years. I'd like to improve it face-to-face or not.
711,1205,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello everybody, I'm Sarah and I'm 32 years old. I used to live in Milan but I moved to Bologna in March for work. So, I'd like to make new friends and at the same time to practice English. I'm a B2/C1 level so I'm able to make a good conversation but I'd like to become more fluent and to improve my knowledge of English culture and idioms. So I'm looking for a person to speak with in English to practice the language as much as possible, in exchange I offer conversations in italian."
712,1208,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, I’m an italian folk from Pisa, I lived in Uk for 3 years and I’d like to find someone English mother toungue interested in language exchange. Any level would be alright."
713,1209,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Finnish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Ciao, i need to review my english and start to learn finnish. I m italian native educated to MSc level"
714,1211,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I’m looking for a English tandem to improve my conversations and speaking skill. I can exchange with Italian teaching.
715,1213,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]","Hi, I was born and I live in Florence. I'm studying english and spanish for my pleasure but I need to talk to someone because i'd like to improve my speaking. I can help you to speak italian better."
716,1214,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",I would like to improve my fluency in speaking and writing English and also try to improve my knowledge of Spanish.
717,1215,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'd like to visit northern Europe in this year and so I want to improve my English, learn something new every day! In return I can teach you how to cook and Italian."
718,1216,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi everyone, I'm Cristina for my job I often use english for writing and sometimes for speaking. I would like to improve it above all the speaking. Thank you for your attention Cristina"
719,1217,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'Arabic', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'German', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}]","I want to improve my German, English, Spanish and Arabic."
720,1219,Italian,"[{'language': 'French', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}]","Hi, I'm an Italian guy looking for people to know and to work with in order to develop our skills together. I'm currently looking for someone to practice french with (j'suis un peu rouillé :/), in exchange I can help with my italian (my native language) or my spanish (that I'm fluent enough with). I'm at my second year of university, I'm studying PR (public relations). Hope to find some nice people to laugh, learn, grow and have a nice with :)"
721,1220,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hey, I'm Italian and I'd like to improve my knowledge of the english language. Actually I'm also interested to learn deutsch for the very first time. Of course, I'm glad to help you with my native language."
722,1221,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm currently preparing for the B2 exam although I hope to achieve C1. I live in Italy, in a small town in tuscany between Florence and Pisa."
723,1222,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'd like to improve my English... In exchange I can help you with the Italian language!
724,1223,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hello, I can help you in Italian, while I would like to better practise in English, Spanish, French and German."
725,1226,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello, I'd like to improve my english, becouse it's necessary for my job. In the same time I can help you and teach you italian language. I often work at home so I can chat in the morning or afternoon."
726,1228,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I have been living and working as a psychologist in the UK for the last five years. I would like to keep practising English. Unfortunately, I am not interested in the Italian/English exchange. I would like to practice English with non-native English speakers whose level is intermediate. I am highly fascinated by other cultures and food. I have specific interests, but I am open to learning new things, so we can discuss anything you like."
727,1229,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm looking to improve my English with native speaker and make new friends.I want to learn as much as possible about your culture. I'd love to help you with Italian of which I am a native. Feel free to message me if you're interested in an exchange ,thanks!"
728,1230,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am a nice guy, born in Italy. I could teach Italian and I would like to learn English. My level of English is intermediate, I would like to improve it"
729,1231,Italian,"[{'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm from Italy, and I'm studying Japanese! If you would like to study or have a conversation in Italian with me please contact me on telegram ?"
730,1232,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm Bea, 31 years old living in Milano. I'm always happy to meet new people, and I'd like to practise my English as well. I'm only looking for a face to face exchange, so people from Milano looking forward to see you!"
731,1233,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Norwegian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hi I'm italian, I can speak English (B1) and French (B2). I've just started studying Norwegian and I'm looking for a native speaker interested in learning Italian to exchange the first few sentences. I hope that English can help us as a common language, even if I don't speak it very well"
732,1234,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]","Hi.i'm a man from italy,rome.i want to have Friends from everyside of the world. I live in One of the most ancient Town of the world. I'm glad to show the Town if you came to visit me. Kisses from Rome"
733,1235,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Japanese', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",I give in exchange my Italian language knowledge :)
734,1236,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Ciao, I would like to improve my english level and happy to help you with italian (I was born near Rome and few months ago I move to France). I'm friendly and polite."
735,1237,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}]","Hi there, I'm italian, I work in Rome and I'm a sociable person. I'd like to practice and improve my english and my french. My goal is to comprehend English and French just like Italian. In exchange I can help you with italian."
736,1239,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Former university professor ( History , Middle Ages ), aged , but not in my brain. I like meet people with my interests to improve my English / American . I'm a patient person, I like teaching and learning too. I travelled a lot before pandemia, especially in the US."
737,1240,Italian,"[{'language': 'German', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hey, i'm looking for someone speaking french or english as a native for training this languages as well as you can do with italian if you want.I'm looking forward to get to know each other."
739,1243,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","i wish i could improve my english with native english, american or australian and in the middle i can speck italian if they want to improve my language"
740,1245,Italian,"[{'language': 'Arabic (Egyptian)', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I have always been interesting in arabic countris and culture, I thus decided attend an arabic course at university. The course is divided in two parts: one is the fusha and other one is spoken egyptian. I need to improve the second one. Moreover I need someone who speaks english, indeed I am a beginner and I won't be able to speak just arabic. I would like also to improve my english, but just with British because I really love their accent! I can offer my Italian and my ""english"" in return!!"
741,1246,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Mi piacerebbe migliorare prima la scrittura e poi la conversazione diretta, so I'm looking for a native English speaker who can help me with the CE chat and who wants to learn Italian better. I prefer talking with girls and I'm not looking for a relationship. Currently I'm not looking for new pen pals."
742,1247,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Czech', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hi everyone, I really would like to improve my english and make some foreigner friends. I'll gladly help you with your italian, grammar and speaking :) hope to hear from you really soon!"
743,1249,Italian,"[{'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Portuguese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Chinese (Mandarin)', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Hebrew', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Arabic', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'French', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Russian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I am looking for friends to translate books together. I am interested in German, English, French, Spanish, Portuguese, Arabic, Hebrew, Chinese, Japanese and Russian. I may accept proposals for other languages as well. I can help with Italian."
744,1250,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",I love to travel and meet new people. I'd like to improve my English and Spanish and I'm happy to help you with italian language.
745,1252,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'm studying English from a year an i would like to improve it. What's the best way to do it? I thing that is to speak speak speak and speak ... and so i am here. I hope to find someone who want to learn Italian so we could make a deal!!
746,1254,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am a retired surgeon, I need to increase ma english because I go to work in missionary hospitals. Now for some months i will stay at home because i will be grandfather. I will like to speak about the problems of the life like family, health, religion. I will like to know if in your country the electric cars and scooters are working well or not. I can schedule our appointments in all the time of the day."
747,1255,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}]","Hi, I'd like to practice English and Spanish with native speakers who are interested in learning Italian in exchange. I think to be intermediate level in English and pre-intermediate in Spanish. Nice to meet people who come from other countries and other cultures!"
748,1257,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello to everybody, I'm Luca an italian man. I set myself the goal to improve my english skills: conversation first, listen second and write last. I grateful to anyone who want help me to improve my skills and improve his skills himself too. I love speak about more topics: sports, travels, cooking, movies, music and so on. I want kwow you, contact me and we fix appointment to speak and to know in english."
749,1258,Spanish<br/>Italian,"[{'language': 'French', 'level': 70.71428571428572, 'proficiency': 'Advanced'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm a Peruvian girl who lives in Italy. I love languages and I'm looking for new friends to improve my French and my English! I love meeting new people! So, if you want to improve one of these languages, let me know :) I am a native Spanish speaker and I can speak Italian very well because I live in Italy since 2010!"
750,1261,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Spanish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]","I am an economics student who is looking for a person to practice my English and French with. I do a lot of sports like climbing and martial arts, I also like cooking having a particular focus on healthy cooking. Also i really love travelling and hiking in mountain."
751,1262,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I want to improve my English (listening and speaking) with a UK native speaker (no USA due to time zone problems). I offer my Italian for conversations / chats.
752,1264,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","My name io Matteo, I’m from Italy and I want to improve my English. In return we can speak half the time in Italian. I’m 22 and i’m studying in the field of computer science, in particular artificial intelligence."
753,1265,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm Vittorio, an italian guy from the south of Tuscany, not far Umbria and Lazio. I'd like to improve my english and spanish. Have a great day!"
754,1267,Italian,"[{'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm 29 yo, and here to improve my English. I would learn to express myself without being afraid of making mistakes.. I can exchange my mother tongue: Italian. Dreamer who loves travelling and discovering new things. PS I'd like to speak to Canadian girls most."
755,1268,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",:) I'd like to improve my english through conversation and I need to talk occasionally (weekly/ once every 2 weeks).
756,1270,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm Italian and I live in the North of Italy, Novara, between Milan and Turin. I’m presently working at Italian public school for foreign students, teaching Italian as a foreign language I would like to improve my English for work but also because I love the English language so much! I'd be very glad to help you with your Italian in return! I like going jogging, listening to music, movies and I love the sea!"
757,1271,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",My first aim is having talks in English with people who want have an exchange and learn Italian.
758,1272,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'm curious and chatty and always dreaming about my next trip to the United States. I'm native Italian and I can help you with my language while improving my spoken English.
759,1273,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Arabic (Middle Eastern)', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Russian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'French', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",Hi i am looking for someone interested in language exchange above all in speaking and conversation skills. I think i am at an intermediate level and i need to improve it. Often i work with foreign people and i find a lack in my listening (i catch the meaning of the speach but i lose some words). I hope to find soon someone with the same interests with whom chat and speak. I love foreign languages and at this time i am trying to learn new (russian and arabic).
760,1274,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Russian', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",I like to meet new friends and to know new cultures.
761,1276,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi I'm Luca, I'm 21 years old, I study industrial engineering the university of Genova. I can define myself a curious person, i like to learn and try new experience. In my free time i like read, make trip, mountain excursion and long walking with some good background music."
762,1277,Italian,"[{'language': 'Spanish', 'level': 70.71428571428572, 'proficiency': 'Advanced'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hey, it's Celeste! Let me introduce myself: I'm an engineering student with a passion for languages! I'm actually looking for a German speaker, I have just started learning this language and I would to improve it! I can help you with Italian or Spanish :) Let me know!"
763,1278,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am a guy full of interests who loves English and would like to learn it better! I love Rock music, football and travel"
764,1279,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm looking for a person to converse with and improve my English. If you need to practice Italian, we can do it together, I'm a teacher."
765,1280,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 70.71428571428572, 'proficiency': 'Advanced'}]",In the past I taught italian grammar and conversation to foreign students. I would like to improve my vocabulary and conversation in English; a language that I especially need for work.
766,1281,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, everyone, this is Chris from Italy. I'm looking for friends to practice my English and teach Italian."
767,1283,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'm looking for somebody interested in Italian for language exchange. No matter if by messages and written instruments or face to face apps.
768,1284,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","( general Kenobi) I'm an italian girl who lives in Florence. I would love to help someone who needs to improve their Italian, I want to improve my english as well. So, what are you waiting for? Have a cup of tea, some bisquits and some lovely conversation with me :3"
769,1285,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello everyone ; I am here to meet new people and improve my english language , especially use communication."
770,1286,Italian,"[{'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 45, 'proficiency': 'Intermediate'}]","I'd love to improve English, Spanish and French which I studied at school and I've forgotten..a little. I live in Rome and I've a lot of interests."
771,1287,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I am enthusiastic to share my native language background with you. Let's take a moment to have fun conversations ^_^
772,1288,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'm Giulia from Italy and I need to practice my English
773,1290,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'Russian', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'French', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I love meeting new people, going out with my friends, listening to music, learning new languages and discovering new cultures."
774,1291,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Turkish', 'level': 45, 'proficiency': 'Intermediate'}]",Looking forward to travel the world
775,1292,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm a open minded person, funny and kind with a lot of interest."
776,1293,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}]",I’m interested in speaking English and French. And I will correct your fault in Italian if you want.
777,1294,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",I'd like to improve my English and Japanese with native speakers. We can work together on your Italian. Conversation Exchange seems a great  opportunity to all of us. I'm a serious guy looking for new international friends In Milano.
778,1296,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, I am italian and I need to practise my english conversation. I have experience in teaching italian and I am patient and motivated."
779,1297,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I would like to improve my English for travelling, communicate with other people and for my job. I need to practise it because I don't use English so often and I don't want to forget all my progress of these years. I would like to arrive at motherlanguage level, but I have to work hard for this. Obviously, I can help you with your Italian with chats for an half in Italian and the another one in English. Text me, if you want to practice too."
780,1298,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I want to improve my english and i want to speak fluently.
781,1299,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I would be happy to communicate with someone to practice speaking english. I love to travel and meet new people and cultures.
782,1300,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]","I would like to meet something in Milan, weekly, to practice english or French conversation. I can help you to practice Italian of course!"
783,1302,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi there, this is Alberto from Italy. I'm interested in a language and cultural exchange with native English speakers (or fluent English speakers from other parts of the world). I hold a degree in Italian language and literature so I can definitely help you with your Italian. Feel free to PM me if interested :)"
784,1306,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 45, 'proficiency': 'Intermediate'}]",I am Italian and I am living in London now. I would like to practise spoken English/Spanish and I would be happy to help someone with their Italian.
785,1307,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I really like different culteres, I like travelling and I really want to meet new people from all over the worl and find out their lifestyle."
786,1309,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",italian manager and I would like to meet someone with whom i could exchange english-italian face to face or by chat. I would meet someone with similar interestes ciao francesco
787,1310,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","hello, I'm student who will start studying biomedical engineering at Milano the next year and I want to improve my English skills to know other countries and cultures. I would also form a new friendship with someone around my age that can last for many years and maybe a day I could visiy your country. I can teach you some italian."
788,1313,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Icelandic', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Danish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Finnish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Norwegian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Swedish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I am looking for someone who would like to help me learn to converse in english well. In exchange, I can teach Italian. I'm interested in making friends as well but remember, we are strangers at first, and I am female. If our correspondence is polite, positive, diplomatic and respectful, we might be a good match! If you don't want it to be, don't write to me!"
791,1316,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",I’m a very open minded person and I can talk about everything; I’d like to practice english and spanish to be more fluent in the speaking and to improve grammar.
792,1318,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]","I am an Italian student and I hope I can find someone to ameliorate my English. I wouldn't mind if I could also help some poor, miserable soul with the Italian language. Oh, and improve my French!"
793,1319,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Russian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'French', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Chinese (Cantonese)', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Portuguese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I am looking for someone to have conversations sharing language and culture, and new friends. Write me if you are looking for the same things."
794,1322,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Russian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I like learn new language, culture and people all around the world. I'm here to make new friends and practice my language skills"
795,1323,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'm here because I would like to improve my spoken english.
796,1324,Italian,"[{'language': 'Croatian', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}, {'language': 'Russian', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}]","I'm Sara and I would like to improve my Croatian by training it on a daily basis. I used to live in Croatia but I'm afraid I will forget everything I learned! I am willing to teach you Italian in exchange, feel free to contact me (:"
797,1325,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",I am Mirko an Italian guy from Rome:) I'd like learn French even though I am completely beginner lol ahahah So please be patient:) In exchange I would love help you with your Italian. Feel free to contact me ☺️ Have a good one
798,1329,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","i'm an italian girl and i really would love to practice english with some english native speaker,plus i'm really happy to help others learning my first language (ita)"
799,1330,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Appassionato di inglese, I’d like to make new friendships all over the world and learn new languages."
800,1332,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}]","I live in Rome and I travel whenever I can, not only for business:-) I’m a lawyer"
